Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,RSI,Unemployment_Rate,CPI,Fed_Funds_Rate,SP500
2019-08-09,50.325001,50.689999,49.822498,50.247501,49.079002,98478800,49.6899992,51.2318748,42.837428609926796,3.6,256.036,2.13,2953.56
2019-08-12,49.904999,50.512501,49.787498,50.119999,48.954468,89927600,50.0469992,51.17274965,40.13684583691834,3.6,256.036,2.13,2953.56
2019-08-13,50.255001,53.035,50.119999,52.2425,51.027603,188874000,50.6454992,51.22862465000001,50.2958582215844,3.6,256.036,2.13,2953.56
2019-08-14,50.790001,51.610001,50.647499,50.6875,49.50877,146189600,50.8309996,51.22112455,46.13713879024781,3.6,256.036,2.13,2953.56
2019-08-15,50.865002,51.285,49.9175,50.435001,49.262138,108909600,50.7465002,51.17212455,44.600428078061974,3.6,256.036,2.13,2953.56
2019-08-16,51.07,51.790001,50.959999,51.625,50.424469,110481600,51.022000000000006,51.220999600000006,47.276469901456615,3.6,256.036,2.13,2953.56
2019-08-19,52.654999,53.182499,52.5075,52.587502,51.364578,97654400,51.515500599999996,51.260124700000006,51.27996772345482,3.6,256.036,2.13,2953.56
2019-08-20,52.720001,53.337502,52.580002,52.59,51.367023,107537200,51.5850006,51.27912475000001,47.652424009088726,3.6,256.036,2.13,2953.56
2019-08-21,53.247501,53.412498,52.900002,53.16,51.923771,86141600,52.0795006,51.32874975,53.84475728796559,3.6,256.036,2.13,2953.56
2019-08-22,53.297501,53.610001,52.6875,53.115002,51.879818,89014800,52.61550079999999,51.396749799999995,58.353133417213,3.6,256.036,2.13,2953.56
2019-08-23,52.357498,53.012501,50.25,50.66,49.481907,187272000,52.4225008,51.33299975,59.3636792662938,3.6,256.036,2.13,2953.56
2019-08-26,51.465,51.797501,51.264999,51.622501,50.422024,104174400,52.229500599999994,51.293124899999995,59.518561970365965,3.6,256.036,2.13,2953.56
2019-08-27,51.965,52.137501,50.8825,51.040001,49.853077,103493200,51.919500799999994,51.23537495000001,55.1057164025302,3.6,256.036,2.13,2953.56
2019-08-28,51.025002,51.43,50.830002,51.3825,50.187603,63755200,51.564000799999995,51.141500050000005,52.22836200821087,3.6,256.036,2.13,2953.56
2019-08-29,52.125,52.330002,51.665001,52.252499,51.037369,83962000,51.391500199999996,51.148750099999994,58.32640365448504,3.6,256.036,2.13,2953.56
2019-08-30,52.540001,52.612499,51.799999,52.185001,50.971436,84573600,51.696500400000005,51.2077501,58.61854210969686,3.6,256.036,2.13,2953.56
2019-10-01,56.267502,57.055,56.049999,56.147499,54.841797,139223200,55.415000199999994,54.734874749999996,51.83418875005465,3.6,257.155,1.83,2940.25
